 $/Acre ,Acres, PRICE ,CDOM,SOLD DATE,County,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,LOT SIZE,LATITUDE,LONGITUDE
" $7,526 ",14.16," $106,575 ",253,4/27/2018,Lee,3  County Road 305   ,Lexington,TX,78947,616809.6,30.364285,-97.198046
" $9,000 ",15.00," $135,000 ",168,10/19/2018,Lee,1007  County Road 417   ,Lexington,TX,78947,653400,30.516797,-96.988147
" $6,751 ",15.55," $105,000 ",13,10/29/2018,Lee,TBD  CR 324   #8,Lincoln,TX,78948,677532.24,30.309265,-97.034835
" $8,150 ",16.57," $135,000 ",44,10/16/2019,Lee,TBD  County Road 407   ,Lexington,TX,78947,721571.4,30.424365,-96.935043
" $8,000 ",16.58," $132,640 ",137,4/18/2019,Lee,000  CR 113   ,Giddings,TX,78942,722224.8,30.203164,-96.950185
" $8,444 ",16.58," $140,000 ",176,5/10/2019,Lee,00  CR 113   ,Giddings,TX,78942,722224.8,30.204168,-96.949685
" $9,650 ",16.58," $160,000 ",179,4/29/2019,Lee,0  County Road 113   ,Giddings,TX,78942,722224.8,30.205359,-96.950054
" $8,439 ",16.59," $140,000 ",16,11/30/2018,Lee,0000  CR 113   ,Giddings,TX,78942,722660.4,30.20077,-96.949437
" $12,413 ",17.32," $215,000 ",21,9/6/2018,Lee,5043  County Road 326   ,Lexington,TX,78947,754459.2,30.375443,-97.030666
" $21,776 ",18.14," $395,000 ",23,7/27/2018,Lee,0000  Fm 696   ,Lexington,TX,78947,790134.84,30.40958,-96.997584
" $9,000 ",18.43," $165,860 ",180,6/10/2019,Lee,TBD  Fm 141   ,Dime Box,TX,77853,802767.24,30.3751,-96.848623
" $10,759 ",19.05," $205,000 ",112,4/10/2019,Lee,TBD  County Road 324   ,Lincoln,TX,78948,829992.24,30.308895,-97.033729
" $11,768 ",19.55," $230,000 ",32,10/30/2018,Lee,3280  County Road 405   ,Lexington,TX,78947,851380.2,30.408217,-96.941925
" $6,299 ",19.85," $125,000 ",412,8/9/2019,Lee,N  Highway 77   ,Giddings,Tx,78942,864448.2,30.200485,-96.928114
" $9,083 ",20.73," $188,320 ",195,2/7/2020,Lee,000  County Road 143   ,Lincoln,TX,78948,903173.04,30.285749,-96.899624
" $7,866 ",21.61," $170,000 ",97,10/30/2019,Lee,1240  County Road 331   ,Lexington,TX,78947,941462.28,30.315222,-97.100665
" $10,498 ",21.87," $229,582 ",17,5/1/2020,Lee,3422  County Road 133   ,Giddings,TX,78942,952657.2,30.194759,-96.859088
" $8,500 ",22.05," $187,400 ",210,7/31/2019,Lee,000  County Road 411   ,Lexington,TX,78947,960367.32,30.483811,-96.929114
" $9,500 ",22.40," $212,809 ",22,4/16/2020,Lee,1705  County Road 307   ,McDade,TX,78650,975787.56,30.36542,-97.178082
" $5,428 ",23.03," $125,000 ",367,1/30/2020,Lee,3285  County Road 430   ,Dime Box,TX,77853,1003056.12,30.332194,-96.80745
" $9,250 ",23.20," $214,600 ",26,4/26/2019,Lee,000  CR 411   ,Lexington,TX,78947,1010592,30.47084,-96.98654
